id;ap_user_id;table_ky;is_active;is_enable;added_by;added_on;updated_by;updated_on;approved_by;approved_on;comments;remarks;org_id;extra_fields
1;36830;43171;26222;50071;1620;2022-10-07;98495;2022-10-07;41685;2022-10-07;USB;enable;24181;International haptic communities
2;94872;20796;65742;28478;30493;2022-10-07;95063;2022-10-07;86203;2022-10-06;Rubber parsing;Agent;76395;generating actuating networks
3;20558;62759;39292;70187;80984;2022-10-06;98896;2022-10-06;13926;2022-10-06;multi-byte Soft;Credit Sports SQL;69400;Keyboard Mouse
4;87084;62956;49153;88549;98458;2022-10-06;9418;2022-10-06;49086;2022-10-06;Program;protocol Rubber Mexico;35158;Applications Account
5;63203;5061;86227;21859;828;2022-10-07;99290;2022-10-07;3206;2022-10-06;Virginia red;intangible Lari;25946;Account navigate
6;26742;72453;40060;44647;47509;2022-10-06;23015;2022-10-07;20478;2022-10-06;open-source Mayotte Consultant;Toys ivory payment;81834;revolutionize
7;44074;17630;81050;87771;99874;2022-10-06;89134;2022-10-06;1966;2022-10-07;Hungary;Sleek AGP motivating;23841;deposit Up-sized initiatives
8;51057;87954;22227;9201;72704;2022-10-06;4629;2022-10-06;67674;2022-10-06;Kwacha New;compress Customer index;49450;cutting-edge Developer
9;63946;53238;66618;59974;47689;2022-10-06;23201;2022-10-06;69539;2022-10-06;eco-centric;Handcrafted supply-chains;45676;Station paradigms Intelligent
10;91897;80830;74423;27192;49188;2022-10-07;88438;2022-10-06;45214;2022-10-06;Hat;THX instruction Marks;34709;mindshare parsing
