id;code;name;lap_desc;parent_id;moderator_id;parent_table_ky;status;zone;org_id;hist;added_by;added_on;updated_by;updated_on;approved_by;approved_on;otherinfo;comments;remarks
1;circuit;complexity driver;black auxiliary;9947;54469;6504;52410;97467;68747;5795;77967;2022-10-06;18422;2022-10-06;35428;2022-10-07;Gorgeous Generic;Principal;deliverables
2;Agent 24/365;RAM;parallelism Tuna explicit;72513;91222;60734;37514;3283;77362;22627;42366;2022-10-06;61230;2022-10-06;65058;2022-10-06;Consultant Florida;e-markets Market panel;open-source Borders Licensed
3;bus;Tuna;quantifying;53617;43692;16994;17718;69598;98948;42015;57242;2022-10-06;32297;2022-10-07;4768;2022-10-06;Supervisor;Customizable;Identity
4;sky Games Awesome;Macedonia networks Borders;UIC-Franc solutions;38152;17391;88561;79451;65768;10883;6889;92238;2022-10-06;85170;2022-10-06;54549;2022-10-06;Chief Ergonomic;District streamline;invoice
5;encompassing mission-critical Industrial;program project Franc;Steel;16578;83939;61962;62704;19298;71379;2847;50397;2022-10-06;85526;2022-10-06;23952;2022-10-07;Configuration Loan Borders;Dynamic Baby 1080p;Orchestrator
6;generate Plastic orchid;back-end Argentine;Incredible;34124;98426;95677;78303;37545;83402;23286;45368;2022-10-07;79452;2022-10-06;86534;2022-10-07;Mongolia Rubber Refined;Focused;reinvent cohesive Account
7;Health plug-and-play navigate;Coordinator Personal Club;Berkshire parsing Fresh;88380;95361;40322;77053;65993;68937;23260;65783;2022-10-06;56940;2022-10-06;27635;2022-10-07;invoice vortals architectures;Canadian tan Cambridgeshire;optical Grocery Plastic
8;Health strategize Salad;Computers;indexing;97458;12869;34146;38209;28284;5010;5853;31474;2022-10-06;86456;2022-10-06;69510;2022-10-06;e-markets Chips Vietnam;Swedish;visionary
9;Account wireless;Response;Kwanza;9758;22498;58035;50090;52885;71528;95374;10958;2022-10-06;11713;2022-10-07;65530;2022-10-07;orchid Account;payment deposit Tasty;HTTP capacitor
10;overriding;Applications Junction Borders;Cambridgeshire firewall Account;38088;54230;72474;84645;8052;65213;55193;98267;2022-10-06;90907;2022-10-06;89353;2022-10-06;withdrawal;Concrete;Savings transition Pants
