id;message;category;category_name;meta;post_id;is_active;appr_rej_reason;is_enable;added_by;added_on;updated_by;updated_on;approved_by;approved_on;comments;org_id;other_info
1;payment Hawaii Health;87987;monitor;Lead;85480;64666;9151;28074;39530;2022-10-06;78523;2022-10-06;24589;2022-10-06;Liberia Fresh cross-platform;70183;Sausages
2;Colombia;29085;Hryvnia Plains bricks-and-clicks;Road Knoll PCI;20838;71499;25432;36948;33743;2022-10-07;6351;2022-10-07;36156;2022-10-06;Consultant primary ADP;67258;Industrial Senior
3;Steel mindshare;64603;Chicken;Nepalese salmon;13453;87118;34163;45654;13492;2022-10-07;74840;2022-10-07;17398;2022-10-06;withdrawal invoice;93708;methodical
4;bypass back-end intermediate;51074;Riel B2B;Inverse firewall one-to-one;70325;87482;6395;42288;53768;2022-10-06;73654;2022-10-06;65374;2022-10-07;Small payment Enhanced;91233;Soft
5;Frozen;77190;Crossing application;THX;59502;60812;60364;704;22387;2022-10-07;1363;2022-10-06;14273;2022-10-06;Architect override;10697;Michigan
6;global GB;9754;Licensed;real-time;95472;46660;70038;99651;23780;2022-10-07;37126;2022-10-06;53633;2022-10-06;Florida driver Brook;49785;Ridge
7;Steel Personal;78293;Frozen;Kansas navigate cohesive;11056;15607;56922;92145;54283;2022-10-07;66989;2022-10-06;58294;2022-10-07;deposit Concrete Cambridgeshire;81868;capacitor Regional Wooden
8;payment;29970;interface;Moldova;65444;55539;80596;20002;80592;2022-10-07;69429;2022-10-06;3634;2022-10-07;Borders collaborative multimedia;38810;Mouse USB
9;Fields;15160;front-end;Ergonomic;32535;22652;70946;51970;50649;2022-10-07;8319;2022-10-06;18225;2022-10-06;Peso lime;76151;withdrawal Borders Movies
10;Rubber grid-enabled;233;reinvent;invoice silver;92307;12267;89436;66845;85656;2022-10-07;4996;2022-10-06;42907;2022-10-06;navigate function;23506;monetize
