id;name;user_id;is_active;appr_rej_reason;event_type;is_enable;added_by;added_on;updated_by;updated_on;approved_by;org_id;approved_on
1;Bacon withdrawal Metrics;59782;64626;8754;47557;34521;58036;2022-10-07;98330;2022-10-06;80174;4506;2022-10-06
2;input;82340;79566;7830;17174;1984;65982;2022-10-06;88054;2022-10-06;60517;51005;2022-10-07
3;Wooden;17900;19689;72068;97493;99686;56072;2022-10-06;16904;2022-10-06;28377;84516;2022-10-06
4;Global Cambridgeshire fault-tolerant;26530;99785;70880;19091;42683;35886;2022-10-06;21570;2022-10-07;94686;98415;2022-10-07
5;Bedfordshire transmitting;39822;94999;8270;11135;20346;96354;2022-10-07;56525;2022-10-06;54315;97950;2022-10-06
6;infrastructure bypass Spring;88477;63942;33635;4;77027;78446;2022-10-06;78569;2022-10-07;81437;1978;2022-10-06
7;Camp orchid;35697;95654;70492;4840;31946;26744;2022-10-06;38739;2022-10-06;75680;74903;2022-10-06
8;RSS Car Ergonomic;23406;40243;51997;51004;85649;7109;2022-10-07;15026;2022-10-06;71567;21404;2022-10-07
9;Account Forest;33864;68227;22736;97795;94290;74071;2022-10-06;82749;2022-10-06;24687;16309;2022-10-06
10;Tasty;36047;99330;74389;46021;90225;59404;2022-10-06;69926;2022-10-06;1831;36570;2022-10-06
