id;user_id;friend_id;is_active;is_enable;added_by;added_on;updated_by;updated_on;approved_by;approved_on;comments;remarks;org_id;type
1;18079;34072;39282;93553;47996;2022-10-06;70258;2022-10-07;63401;2022-10-06;Future Customer Lesotho;Incredible Taka Borders;90529;91994
2;6162;94433;50711;23549;94983;2022-10-07;28423;2022-10-06;73579;2022-10-06;XML Handmade;teal;40473;77635
3;21076;53659;28921;79511;24405;2022-10-07;63619;2022-10-06;79065;2022-10-06;back-end;plum invoice transmit;18581;94290
4;43965;88683;53545;87540;77650;2022-10-06;14431;2022-10-06;3913;2022-10-06;attitude;dynamic plug-and-play;72696;89964
5;83963;47133;3225;901;73527;2022-10-07;98076;2022-10-07;87733;2022-10-07;Triple-buffered;Ergonomic Creative cross-platform;32946;98375
6;29940;22897;85665;83513;41034;2022-10-06;97519;2022-10-07;43657;2022-10-06;Colorado Avon;Handmade;12832;65694
7;7104;92250;88845;23685;3188;2022-10-07;18984;2022-10-06;75619;2022-10-06;Cotton deposit;area e-business Accounts;46758;43465
8;85818;19704;39910;44016;26231;2022-10-06;37741;2022-10-06;83404;2022-10-06;Avon Lebanon;Kwacha Home;70005;84803
9;23165;88057;49295;61359;50895;2022-10-06;45508;2022-10-07;93289;2022-10-06;solutions Borders;Assistant fuchsia;98941;36807
10;16226;28725;75798;93989;21159;2022-10-07;31233;2022-10-06;83684;2022-10-06;Turnpike;Rwanda;98105;96044
