id;group_id;grp_user;is_active;is_enable;added_by;added_on;updated_by;updated_on;approved_by;approved_on;comments;remarks;org_id;user_type
1;47661;14411;65343;72212;47903;2022-10-06;31176;2022-10-06;49326;2022-10-07;Strategist;Games;65712;48896
2;46546;54098;4984;38473;64349;2022-10-06;20488;2022-10-07;62674;2022-10-06;vertical IB;Handmade;80212;20081
3;86702;55397;14476;64418;63172;2022-10-07;74510;2022-10-07;15978;2022-10-06;Chief;interface;20281;18453
4;85740;65815;70800;65249;38941;2022-10-06;79259;2022-10-06;91332;2022-10-06;Account support;Avon;83301;94040
5;95339;18860;71319;74655;67119;2022-10-06;93524;2022-10-06;4677;2022-10-06;Assurance protocol;SCSI Bike Pants;5916;28447
6;93614;35455;36749;16475;65329;2022-10-07;5334;2022-10-06;64810;2022-10-06;Baby Mobility;Utah bottom-line;23052;42196
7;16886;77349;37508;89795;59506;2022-10-06;18955;2022-10-06;17783;2022-10-07;haptic;clicks-and-mortar Legacy;98618;54775
8;76495;28495;48190;36984;75349;2022-10-06;29645;2022-10-07;27239;2022-10-07;multi-byte tertiary access;multi-byte Handmade;23207;41968
9;67488;5229;39689;4288;64831;2022-10-06;28490;2022-10-07;4761;2022-10-06;Granite neural ubiquitous;channels Missouri;70395;93287
10;31377;15017;43355;42526;49434;2022-10-06;28084;2022-10-06;59261;2022-10-06;withdrawal Colorado e-enable;rich;10765;6306
