id;name;description;activitys_id;group_type;is_active;is_enable;added_by;added_on;updated_by;updated_on;approved_by;approved_on;comments;remarks;org_id;valid_from;valid_till
1;Hat infrastructures Virginia;Chief Faroe;78048;60256;46166;26838;45247;2022-10-06;29890;2022-10-06;26106;2022-10-06;National Maine Pass;Dollar neural;58700;2022-10-06;2022-10-06
2;web-enabled payment;Refined local;14199;54789;31430;2077;38073;2022-10-07;82948;2022-10-06;59676;2022-10-07;workforce;deposit Business-focused parse;17120;2022-10-06;2022-10-06
3;turquoise hub Lakes;Personal;60622;92739;10605;93344;33686;2022-10-07;58629;2022-10-06;37395;2022-10-06;Rufiyaa virtual;functionalities Tools;85947;2022-10-06;2022-10-06
4;seize;protocol Ergonomic Incredible;74164;79715;75369;85113;92159;2022-10-06;74526;2022-10-06;40388;2022-10-07;drive;Barbados web-enabled Investor;16552;2022-10-07;2022-10-07
5;executive Dollar;pixel withdrawal Granite;65433;32228;73013;17531;30697;2022-10-06;46082;2022-10-06;23159;2022-10-07;California Quetzal Gloves;Global Center;66880;2022-10-06;2022-10-07
6;Mexican Sweden Ergonomic;Accounts;99035;79512;53033;88029;96670;2022-10-06;22824;2022-10-06;58176;2022-10-07;Home;indexing Arizona;59959;2022-10-07;2022-10-06
7;Seychelles;reboot;45645;45389;82301;65766;20158;2022-10-06;81391;2022-10-06;30362;2022-10-07;Hawaii platforms;Dynamic;95561;2022-10-06;2022-10-06
8;Synergized Avon Metal;Manager Customer Customer-focused;12660;75890;37793;78776;55290;2022-10-06;2893;2022-10-06;15707;2022-10-07;Cloned Computer Engineer;bus Practical Refined;71643;2022-10-06;2022-10-07
9;didactic silver Ukraine;Springs;65948;72160;32520;37212;92944;2022-10-06;42790;2022-10-07;66871;2022-10-06;program Pitcairn Kazakhstan;viral;30741;2022-10-06;2022-10-07
10;benchmark Iowa Investor;SMTP Wooden;30425;64586;86882;96670;9664;2022-10-06;8013;2022-10-07;62278;2022-10-07;architectures Usability Handmade;pixel array maximized;89477;2022-10-06;2022-10-06
