id;code;name;lap_desc;parent_id;moderator_1_id;moderator_2_id;moderator_1_code;moderator_2_code;parent_table_ky;type;status;zone;org_id;hist;added_by;added_on;updated_by;updated_on;approved_by;approved_on;otherinfo;comments;remarks
1;Secured Program;the program Ghana;magnetic;60283;13018;77856;Colombia virtual;International generating;13929;91454;91167;81221;2812;82047;52104;2022-10-07;36904;2022-10-06;89152;2022-10-06;bricks-and-clicks neural;e-commerce Reverse-engineered Directives;Bedfordshire
2;Outdoors;pink;SCSI;14430;22612;20376;payment up;wireless;81057;5100;84213;94322;76535;53108;54460;2022-10-06;61488;2022-10-07;30459;2022-10-07;transmitting;open-source e-services;Monaco Business-focused RAM
3;Designer Austria;Generic;Soft impactful Pataca;34535;63332;8913;alarm Bedfordshire Technician;pixel auxiliary Korea;80010;34559;3915;79566;47067;39488;12962;2022-10-06;78420;2022-10-07;79391;2022-10-06;TCP Virginia;Concrete Plastic;synthesize CSS withdrawal
4;copying Tuna intranet;leading-edge generating;Colorado utilisation;46283;27731;3176;Division viral Investment;Zambia viral approach;29402;39925;33805;83391;3382;94793;85919;2022-10-06;61370;2022-10-07;96043;2022-10-06;Maryland Movies;Fresh;Cambridgeshire Zloty
5;orchid Bike;iterate Hollow Manager;Bedfordshire;60727;84973;96415;Salad Concrete;Ball Dong;62677;39053;47578;74714;37925;46021;5695;2022-10-07;55921;2022-10-07;8429;2022-10-07;overriding bandwidth;Buckinghamshire Michigan;Barbados
6;Officer compressing Tajikistan;card Tools;Technician Assistant black;56364;37545;18156;Knolls withdrawal Avon;Solutions Tasty;60305;15072;3061;47277;23847;8011;57040;2022-10-06;87552;2022-10-06;42048;2022-10-07;turquoise Account digital;Garden Persevering even-keeled;Borders Buckinghamshire SMS
7;Senior;dedicated compressing;Sports;37745;74337;80390;workforce invoice;Passage Forward Caribbean;66251;50021;90603;51569;20971;69679;90717;2022-10-06;92568;2022-10-07;74362;2022-10-06;action-items Nebraska AGP;Sharable;calculating B2C invoice
8;Rubber;strategize;Buckinghamshire Iraqi;67328;84887;67287;Intelligent;Wooden Ohio;87128;58480;73179;58269;1319;63726;80899;2022-10-07;55017;2022-10-06;25028;2022-10-06;synthesizing Legacy;Multi-lateral navigate repurpose;Credit North
9;Rubber Ergonomic invoice;Lithuanian Account;Avon Generic;25232;10821;3823;Mouse Licensed;Movies Steel implementation;44066;71222;52997;48162;68780;79773;64011;2022-10-06;6797;2022-10-06;26906;2022-10-07;Maryland Garden;Designer;Identity firewall cross-platform
10;navigate Synergistic;Garden revolutionize bypassing;Orchestrator Handmade Granite;81122;75650;84352;Down-sized Business-focused invoice;Jewelery;37900;68992;34443;80216;52950;84583;1360;2022-10-06;67491;2022-10-07;13449;2022-10-06;Account Island Kids;methodologies Card Cambridgeshire;Handmade
