id;key;val;code;codeval;status;org_id
1;45303;International;4893;optimal;53730;62840
2;23798;Web Delaware Indiana;99419;cyan;70099;88732
3;20637;Zambian PCI;51647;Universal Integration primary;34569;69380
4;85491;Sleek Borders;96871;exuding Crescent transform;86775;79340
5;50281;system;64008;Ball Tools;5593;88276
6;74229;Mouse;44640;Nepal PNG;52337;23357
7;57192;Iranian Soft;39131;scalable optimize Soft;97170;32861
8;30665;Customizable;90854;payment Plastic;71165;52100
9;4785;feed Movies;18023;AGP;53388;10340
10;20740;plum parsing;31116;empower National;67703;24133
