id;org_id;name;type;key_name;key_value;is_active;is_enable;added_by;added_on;updated_by;updated_on;approved_by;approved_on;extra_fields
1;13271;card blockchains;71354;users;Uzbekistan Rest;44387;28564;40956;2022-10-07;20834;2022-10-06;48407;2022-10-07;revolutionary Dollar robust
2;26289;Profit-focused value-added;72172;Bedfordshire Fresh Consultant;Towels Concrete;40534;69317;60987;2022-10-06;6295;2022-10-06;22052;2022-10-06;red Ball
3;85763;up intranet Clothing;80686;Station Handcrafted;Forges virtual;42776;30279;5703;2022-10-06;1651;2022-10-06;25278;2022-10-06;Wall Sports
4;28770;National integrate;16953;intermediate Loan;deposit alliance;7094;15135;99335;2022-10-07;95083;2022-10-06;81073;2022-10-07;Brand Sausages
5;17511;Ball Vermont Forest;88249;Planner morph;monitor Administrator;41757;91633;58161;2022-10-06;1762;2022-10-06;51365;2022-10-07;Web invoice harness
6;38610;back-end;56421;Card GB Metrics;Wooden Glen driver;42632;32031;33920;2022-10-07;32031;2022-10-06;17121;2022-10-06;card
7;30062;24/365 Chief;60098;Liaison Small;Agent Regional;52114;23348;2592;2022-10-06;17219;2022-10-07;51537;2022-10-06;Locks contextually-based Slovenia
8;12939;JBOD;35944;initiative;Montenegro;72241;23976;69110;2022-10-06;39435;2022-10-07;67536;2022-10-06;knowledge logistical
9;69713;copying Wyoming Boliviano;8451;deliverables Dynamic Intelligent;Central interfaces;48089;41744;18203;2022-10-07;45001;2022-10-06;93804;2022-10-07;programming Leone task-force
10;40981;Manager Research;26325;Berkshire;online Cotton;77248;13134;6173;2022-10-07;73861;2022-10-07;60457;2022-10-07;B2B
