id;message;category;category_name;meta;table_ky;is_active;act_rej_reason;is_enable;added_by;added_on;updated_by;updated_on;approved_by;approved_on;comments;remarks;type;is_sales_post;sales_category;price;valid_from;valid_till;phone_area;phno;video_grp;org_id;other_info
1;Singapore Mexico;52091;Orchestrator;action-items;13625;5825;34230;12209;50890;2022-10-06;76714;2022-10-07;44200;2022-10-07;transform;next-generation Pataca;19200;63164;58444;63184;2022-10-07;2022-10-06;synthesizing repurpose;Fully-configurable Designer;11074;73739;Licensed backing
2;payment Identity;40160;collaborative Costa Shoes;plum withdrawal Sleek;54898;62869;11460;5985;25395;2022-10-07;69509;2022-10-06;59466;2022-10-06;Soft Cotton;Technician;41787;87039;95438;31172;2022-10-06;2022-10-06;Money background bandwidth;web-enabled;97467;75029;out-of-the-box withdrawal matrix
3;engineer throughput;54862;Rhode;Avon Gateway deposit;63627;5725;91017;43722;86261;2022-10-07;97255;2022-10-06;52516;2022-10-06;Michigan;Enterprise-wide program;55086;75868;59901;99826;2022-10-07;2022-10-06;harness;Awesome Business-focused Shoes;3463;14425;Checking
4;firmware Bedfordshire metrics;52982;SAS New;ubiquitous Ergonomic;74392;74793;21958;47202;31716;2022-10-06;2698;2022-10-07;22736;2022-10-07;Global Cambridgeshire panel;bus Wooden Korean;42859;63383;13815;91433;2022-10-06;2022-10-07;RSS Small;Down-sized;33177;22509;ability synthesize
5;Books;97879;expedite multi-byte Colombia;Legacy application;18345;75387;20799;70216;65027;2022-10-06;10005;2022-10-07;14368;2022-10-06;synthesize zero;Shirt magnetic;14532;32815;7226;78826;2022-10-06;2022-10-07;Birr array;brand Analyst Applications;98443;7841;Inverse Buckinghamshire
6;Automotive Isle sexy;32052;invoice;Saint;49772;7285;52588;84311;94118;2022-10-06;6129;2022-10-06;42484;2022-10-06;Berkshire;hacking;95557;67715;61744;69612;2022-10-07;2022-10-06;reintermediate;Quality Handmade deposit;62415;75688;Hat Rustic
7;deposit Chicken;82834;UIC-Franc;Consultant Tennessee Associate;43111;76880;51794;98557;55515;2022-10-06;66880;2022-10-07;28584;2022-10-07;invoice ADP;TCP;14942;7706;20846;36486;2022-10-06;2022-10-06;program Account California;synergies;57649;36321;Plains connect Checking
8;Customer-focused;63784;Ville coherent;state Garden;48361;30846;29374;43084;81683;2022-10-06;79680;2022-10-06;92493;2022-10-06;Cedi Networked;reinvent bandwidth;97444;54381;31736;61276;2022-10-06;2022-10-07;Tala Borders Creative;Namibia pixel SMTP;97317;71994;invoice
9;Corporate Franc;90824;Cross-group payment turquoise;Account Rustic Circle;75822;70125;71959;79891;49520;2022-10-06;32473;2022-10-07;94215;2022-10-06;Buckinghamshire;clear-thinking Kansas;95538;66786;46141;94639;2022-10-06;2022-10-06;Accounts;hack Car Buckinghamshire;75265;1495;front-end
10;hack magenta;58608;invoice West;cyan compressing Pula;49295;78340;35830;11685;38975;2022-10-06;4114;2022-10-07;35609;2022-10-06;Avon Avon Berkshire;Account Solutions Regional;72440;64360;15098;9063;2022-10-06;2022-10-06;wireless Steel infrastructure;portals Franc Haiti;42252;65363;payment Avon
