id;postid;video;videopath;is_active;is_enable;added_by;added_on;updated_by;updated_on;approved_by;approved_on;comments;remarks;prim_video;org_id;status
1;91265;SSL PCI Estate;wireless;65294;43142;10518;2022-10-07;83538;2022-10-07;62862;2022-10-06;neural;e-commerce target rich;62058;29264;13748
2;80489;synthesize Savings;Gloves;91938;5850;35757;2022-10-06;27378;2022-10-06;19362;2022-10-06;sensor;framework digital;10976;65345;1797
3;3900;reciprocal;markets;81236;1848;44066;2022-10-06;45977;2022-10-06;77716;2022-10-06;ADP lavender;recontextualize;72209;46683;51978
4;36160;Chad;Savings Forward;60461;57149;80722;2022-10-07;34767;2022-10-07;97040;2022-10-06;Metrics;SDD orchestrate;80180;61028;21637
5;7968;Hat e-tailers;FTP neural Center;78515;75877;46297;2022-10-07;48026;2022-10-07;2660;2022-10-07;Multi-channelled invoice;up matrix Sleek;8671;50888;36468
6;74888;Liaison Enterprise-wide navigating;Industrial Square multi-byte;21644;52487;72317;2022-10-06;27388;2022-10-06;76545;2022-10-06;Progressive Nebraska circuit;International;4317;87729;46854
7;52288;Internal CSS;Zimbabwe;37890;76039;820;2022-10-06;99643;2022-10-07;66908;2022-10-06;Dynamic;Garden;37160;47332;40060
8;37886;neural;Licensed synergistic Berkshire;1989;20893;18222;2022-10-07;72171;2022-10-06;68399;2022-10-06;24/7 virtual architecture;Bedfordshire Steel;93907;64595;77847
9;12588;Ruble;Tactics;99398;92671;72206;2022-10-06;84932;2022-10-06;55035;2022-10-06;auxiliary bandwidth indexing;Books transmitter;91756;15751;58912
10;36989;global;initiatives incubate;51752;18139;49916;2022-10-06;6519;2022-10-07;56187;2022-10-07;application XSS bricks-and-clicks;Practical niches Rubber;40468;93019;79393
