id;rating;post_id;is_active;appr_rej_reason;is_enable;added_by;added_on;updated_by;updated_on;approved_by;org_id;approved_on
1;4759;85959;75768;9994;55292;87251;2022-10-06;78433;2022-10-06;91412;10583;2022-10-07
2;66778;93628;57719;90898;56074;24394;2022-10-06;97283;2022-10-06;46157;2215;2022-10-06
3;87578;90718;2029;71961;68154;92816;2022-10-07;3044;2022-10-07;59023;40073;2022-10-07
4;83918;45899;31615;26868;79017;30977;2022-10-07;81907;2022-10-07;49450;58245;2022-10-06
5;86172;24461;1693;79863;53782;21169;2022-10-07;41967;2022-10-06;43237;27548;2022-10-06
6;65359;74146;84811;51901;18651;12136;2022-10-06;97533;2022-10-06;225;22295;2022-10-06
7;49153;71064;18258;56302;9155;27119;2022-10-06;76963;2022-10-06;93565;90657;2022-10-07
8;40330;7847;1548;65776;6453;84254;2022-10-06;4152;2022-10-06;33663;97948;2022-10-07
9;25099;85111;51092;14928;40556;53924;2022-10-06;9262;2022-10-06;75182;24518;2022-10-06
10;13034;70896;20041;61802;87909;64345;2022-10-07;62455;2022-10-06;155;41628;2022-10-07
