id;message;category;category_name;meta;post_id;is_active;appr_rej_reason;is_enable;added_by;added_on;updated_by;updated_on;approved_by;approved_on;comments;remarks;org_id;other_info
1;deposit;29377;deposit generate;Brazilian redundant gold;61595;53772;41357;33815;2231;2022-10-06;55076;2022-10-06;30776;2022-10-06;Plastic Djibouti;Buckinghamshire Mouse;30642;Cambridgeshire
2;Programmable;80983;indexing metrics ROI;Vision-oriented maximized;67292;41259;9888;75124;50383;2022-10-06;90557;2022-10-06;78572;2022-10-06;optical India silver;orange Handcrafted;40581;Toys Practical
3;black alarm;25575;schemas ability;copy withdrawal;7760;97981;39101;8992;74565;2022-10-07;85977;2022-10-06;84267;2022-10-07;paradigms;Peso;30953;interfaces Handmade
4;Michigan Outdoors Bedfordshire;51765;Solomon needs-based Loan;Account XML Rubber;37890;2995;52513;42186;32516;2022-10-07;12492;2022-10-06;94198;2022-10-06;XML interface fresh-thinking;knowledge Senior FTP;58898;programming Underpass
5;Jewelery tan;2502;Toys Park;Technician;86328;5903;25174;61015;15029;2022-10-06;50677;2022-10-07;70119;2022-10-06;leading-edge Fresh;Dollar Orchard Data;57779;connecting
6;program navigating;59596;haptic;Pennsylvania Program Ohio;99635;73727;23126;21895;17378;2022-10-07;7573;2022-10-07;57502;2022-10-06;TCP Secured;Steel Ergonomic customer;92053;Kingdom HTTP
7;indexing mindshare Books;99709;Concrete;Squares Wooden;93143;72232;36407;26393;46101;2022-10-07;49636;2022-10-06;90884;2022-10-07;base Handcrafted technologies;Concrete Music;8924;Platinum Chips Books
8;Persevering invoice;64233;synthesize;systematic Home;61033;44622;10284;96868;32601;2022-10-07;86684;2022-10-06;56816;2022-10-06;Strategist;Future Liberia;50467;e-commerce Marketing
9;Sausages Lanka;82960;Wooden open-source;Unbranded Interface Optimization;29493;47068;67191;50526;50794;2022-10-07;78061;2022-10-06;18642;2022-10-06;reciprocal morph end-to-end;Specialist real-time Implemented;49749;indigo silver
10;circuit web Steel;24663;Unbranded red;Stream application;12807;87383;9220;66269;65779;2022-10-06;40891;2022-10-07;51235;2022-10-06;exuding;payment;75483;Personal Officer
