id;user_id;loggedon;activeduration;ip_adr;usr_location;lat;longi;pin;added_by;org_id;added_on
1;97364;2022-10-06;10119;bypass Designer user-centric;Enhanced Center;79846;37487;Avon orange;50618;10159;2022-10-06
2;24206;2022-10-07;35896;Italy system HTTP;haptic Branding wireless;55556;62335;Wyoming;16643;37994;2022-10-07
3;62311;2022-10-06;50896;transmitting pink framework;Account optical;84167;26662;Mobility projection end-to-end;26124;77704;2022-10-07
4;31126;2022-10-06;25130;frame Refined;transmitter Refined;28334;31371;scalable Granite;52785;89341;2022-10-07
5;62763;2022-10-06;27162;Markets Officer;human-resource RAM blue;94771;79234;next-generation user-centric compress;90612;78726;2022-10-07
6;89235;2022-10-06;82985;Berkshire;black programming;81808;70985;Colombian;62856;61438;2022-10-06
7;50383;2022-10-06;95135;Ergonomic deposit;ability;22864;478;payment;23268;12391;2022-10-07
8;14556;2022-10-06;92254;Turnpike;Diverse;86985;88484;Balboa infomediaries;32547;20644;2022-10-06
9;45655;2022-10-06;4340;pricing lavender Grocery;Leone copy Chips;54099;26694;auxiliary system Integration;81459;85454;2022-10-06
10;67815;2022-10-06;53120;Multi-lateral Soft payment;Administrator;49076;23944;scale;55038;95126;2022-10-06
